start_to_clk_ps,value_gap_at_cs_gap,realtime_coarse
619,263,11
609,263,11
599,263,11
589,259,11
579,259,11
569,259,11
559,259,11
549,259,11
539,255,11
529,255,11
519,255,11
509,255,11
499,255,11
489,251,11
479,251,11
469,251,11
459,251,11
449,251,11
439,251,11
429,247,11
419,247,11
409,247,11
399,247,11
389,247,11
379,243,11
369,243,11
359,243,11
349,243,11
339,243,11
329,243,11
319,239,11
309,239,11
299,239,11
289,239,11
279,239,11
269,235,11
259,235,11
249,235,11
239,235,11
229,235,11
219,231,11
209,231,11
199,231,11
189,231,11
179,231,11
169,231,11
159,227,11
149,227,11
139,227,11
129,227,11
119,227,11
109,223,11
99,223,11
89,223,11
79,223,11
69,223,11
59,219,11
49,219,11
39,219,11
29,219,11
19,219,11
9,399,12
2499,399,12
2489,399,12
2479,399,12
2469,399,12
2459,399,12
2449,399,11
2439,399,11
2429,399,11
2419,399,11
2409,399,11
2399,395,11
2389,395,11
2379,395,11
2369,395,11
2359,395,11
2349,395,11
2339,391,11
2329,391,11
2319,391,11
2309,391,11
2299,391,11
2289,387,11
2279,387,11
2269,387,11
2259,387,11
2249,387,11
2239,383,11
2229,383,11
2219,383,11
2209,383,11
2199,383,11
2189,383,11
2179,379,11
2169,379,11
2159,379,11
2149,379,11
2139,379,11
2129,375,11
2119,375,11
2109,375,11
2099,375,11
2089,375,11
2079,371,11
2069,371,11
2059,371,11
2049,371,11
2039,371,11
2029,367,11
2019,367,11
2009,367,11
1999,367,11
1989,367,11
1979,367,11
1969,363,11
1959,363,11
1949,363,11
1939,363,11
1929,363,11
1919,359,11
1909,359,11
1899,359,11
1889,359,11
1879,359,11
1869,355,11
1859,355,11
1849,355,11
1839,355,11
1829,355,11
1819,351,11
1809,351,11
1799,351,11
1789,351,11
1779,351,11
1769,351,11
1759,347,11
1749,347,11
1739,347,11
1729,347,11
1719,347,11
1709,343,11
1699,343,11
1689,343,11
1679,343,11
1669,343,11
1659,339,11
1649,339,11
1639,339,11
1629,339,11
1619,339,11
1609,335,11
1599,335,11
1589,335,11
1579,335,11
1569,335,11
1559,331,11
1549,331,11
1539,331,11
1529,331,11
1519,331,11
1509,331,11
1499,327,11
1489,327,11
1479,327,11
1469,327,11
1459,327,11
1449,323,11
1439,323,11
1429,323,11
1419,323,11
1409,323,11
1399,319,11
1389,319,11
1379,319,11
1369,319,11
1359,319,11
1349,315,11
1339,315,11
1329,315,11
1319,315,11
1309,315,11
1299,311,11
1289,311,11
1279,311,11
1269,311,11
1259,311,11
1249,307,11
1239,307,11
1229,307,11
1219,307,11
1209,307,11
1199,307,11
1189,303,11
1179,303,11
1169,303,11
1159,303,11
1149,303,11
1139,299,11
1129,299,11
1119,299,11
1109,299,11
1099,299,11
1089,299,11
1079,295,11
1069,295,11
1059,295,11
1049,295,11
1039,295,11
1029,291,11
1019,291,11
1009,291,11
999,291,11
989,291,11
979,291,11
969,287,11
959,287,11
949,287,11
939,287,11
929,287,11
919,283,11
909,283,11
899,283,11
889,283,11
879,283,11
869,283,11
859,279,11
849,279,11
839,279,11
829,279,11
819,279,11
809,275,11
799,275,11
789,275,11
779,275,11
769,275,11
759,271,11
749,271,11
739,271,11
729,271,11
719,271,11
709,271,11
699,267,11
689,267,11
679,267,11
669,267,11
659,267,11
649,263,11
639,263,11
629,263,11
