# Index, Coarse, Fine, Raw_Hex
0,88,24,0000B018
1,88,22,0000B016
2,89,226,0000B2E2
3,89,222,0000B2DE
4,89,222,0000B2DE
5,89,222,0000B2DE
6,89,215,0000B2D7
7,89,218,0000B2DA
8,89,214,0000B2D6
9,89,212,0000B2D4
10,89,212,0000B2D4
11,89,212,0000B2D4
12,89,210,0000B2D2
13,89,210,0000B2D2
14,89,210,0000B2D2
15,89,206,0000B2CE
16,89,206,0000B2CE
17,89,202,0000B2CA
18,89,204,0000B2CC
19,89,202,0000B2CA
20,89,202,0000B2CA
21,89,200,0000B2C8
22,89,200,0000B2C8
23,89,200,0000B2C8
24,89,200,0000B2C8
25,89,200,0000B2C8
26,89,200,0000B2C8
27,87,200,0000AEC8
28,87,200,0000AEC8
29,87,198,0000AEC6
30,87,196,0000AEC4
31,87,194,0000AEC2
32,87,194,0000AEC2
33,87,194,0000AEC2
34,87,191,0000AEBF
35,87,190,0000AEBE
36,87,188,0000AEBC
37,87,180,0000AEB4
38,87,176,0000AEB0
39,87,179,0000AEB3
40,87,176,0000AEB0
41,87,176,0000AEB0
42,87,176,0000AEB0
43,87,174,0000AEAE
44,87,174,0000AEAE
45,87,168,0000AEA8
46,87,170,0000AEAA
47,87,168,0000AEA8
48,87,168,0000AEA8
49,87,166,0000AEA6
50,87,164,0000AEA4
51,87,162,0000AEA2
52,87,158,0000AE9E
53,87,158,0000AE9E
54,87,158,0000AE9E
55,87,154,0000AE9A
56,87,152,0000AE98
57,87,152,0000AE98
58,87,150,0000AE96
59,87,142,0000AE8E
60,87,148,0000AE94
61,87,146,0000AE92
62,87,142,0000AE8E
63,87,140,0000AE8C
64,87,140,0000AE8C
65,87,136,0000AE88
66,87,131,0000AE83
67,87,136,0000AE88
68,87,134,0000AE86
69,87,128,0000AE80
70,87,128,0000AE80
71,87,126,0000AE7E
72,87,126,0000AE7E
73,87,122,0000AE7A
74,87,124,0000AE7C
75,87,124,0000AE7C
76,87,119,0000AE77
77,87,119,0000AE77
78,87,116,0000AE74
79,87,114,0000AE72
80,87,112,0000AE70
81,87,112,0000AE70
82,87,112,0000AE70
83,87,112,0000AE70
84,87,110,0000AE6E
85,87,107,0000AE6B
86,87,106,0000AE6A
87,87,100,0000AE64
88,87,100,0000AE64
89,87,100,0000AE64
90,87,100,0000AE64
91,87,100,0000AE64
92,87,100,0000AE64
93,87,94,0000AE5E
94,87,90,0000AE5A
95,87,92,0000AE5C
96,87,90,0000AE5A
97,87,90,0000AE5A
98,87,90,0000AE5A
99,87,86,0000AE56
100,87,84,0000AE54
101,87,82,0000AE52
102,87,84,0000AE54
103,87,82,0000AE52
104,87,80,0000AE50
105,87,80,0000AE50
106,87,78,0000AE4E
107,87,76,0000AE4C
108,87,71,0000AE47
109,87,74,0000AE4A
110,87,74,0000AE4A
111,87,70,0000AE46
112,87,66,0000AE42
113,87,66,0000AE42
114,87,64,0000AE40
115,87,60,0000AE3C
116,87,62,0000AE3E
117,87,58,0000AE3A
118,87,60,0000AE3C
119,87,56,0000AE38
120,87,56,0000AE38
121,87,52,0000AE34
122,87,48,0000AE30
123,87,50,0000AE32
124,87,50,0000AE32
125,87,46,0000AE2E
126,87,46,0000AE2E
127,87,44,0000AE2C
128,87,42,0000AE2A
129,87,38,0000AE26
130,87,40,0000AE28
131,87,38,0000AE26
132,87,38,0000AE26
133,87,36,0000AE24
134,87,34,0000AE22
135,87,30,0000AE1E
136,87,28,0000AE1C
137,87,28,0000AE1C
138,87,28,0000AE1C
139,87,26,0000AE1A
140,87,24,0000AE18
